English,Akuapem Twi
Asamoah asked me to dim the lights.,Asamoah ka kyerɛɛ me sɛ memma kanea no ani nyɛ kusuu kakra.
Let me go in place of him.,Ma menkɔ n'ananmu.
Do what Asamoah tells you to do.,Yɛ nea Holah ka kyerɛ wo sɛ yɛ no.
Asamoah doesn't understand any French.,Asamoah nte Franse kasa biara ase.
How long will you stay here?,Wobɛtra ha akosi bere bɛn?
It's not unheard of.,Entumi nyɛ yiye saa.
Both of my parents are musicians.,M'awofo baanu nyinaa yɛ nnwontofo.
Life's unfair.,Asetra mu sisi.
Asamoah says we can park on either side of the street.,"Sɛnea Asamoah kaa no, yebetumi de yɛn kar asi borɔn no fã biara."
Could you please put this book on the top shelf?,"Mesrɛ wo, wubetumi de nhoma yi agu nhomakorabea a ɛwɔ soro hɔ no?"
I thought Asamoah was from Boston.,Ná misusuw sɛ Asamoah fi Boston.
I took a picture of my family.,Meyɛɛ m'abusua no mfonini.
Asamoah said that he wasn't hungry.,Asamoah se ɔkɔm nne no.
She loves Asamoah more than she loves me.,Ɔdɔ a ɔwɔ ma Asamoah no sen ɔdɔ a ɔwɔ ma me.
Asamoah was incredible.,Na Holah ho yɛ nwonwa yiye.
We need this.,Yehia eyi.
That boy is in love with his teacher.,Saa abarimaa no dɔ ne kyerɛkyerɛfo no.
Their communication may be much more complex than we thought.,Ebetumi ayɛ den kɛse ama wɔn sɛ wɔbɛbɔ nkɔmmɔ sen sɛnea yesusuw.
I can't figure out why he didn't tell the truth.,Minhu nea enti a wanka nokware.
"To the best of my knowledge, the rumor is not true.","Sɛnea minim no, asɛm a wɔka no nyɛ nokware."
The problem perplexed him.,Asɛm no maa n'adwene tu frae.
The pilot described the scene in detail.,Nea ɔka wimhyɛn no kyerɛkyerɛɛ nea ɛkɔɔ so no mu kɔɔ akyiri.
Keep running.,Kɔ so tu mmirika no.
I always have trouble remembering names.,Ɛyɛ den ma me sɛ mɛkae edin ahorow no bere nyinaa.
"She fell ill, but got well soon.","Ɔyaree, nanso ankyɛ na ne ho tɔɔ no."
Asamoah is strict.,Asamoah yɛ katee.
I don't even know who she is.,Minnim onii ko a ɔyɛ mpo.
They went to Boston.,Wɔkɔɔ Boston.
I'm afraid I can't help you. You must ask someone else.,"Suro sɛ merentumi mmoa wo, enti bisa obi foforo."
I will wait outside.,Mɛsan atwɛn wɔ abɔnten.
I asked him for his phone number.,Mibisaa no telefon nɔma.
You can't be a woman.,Wuntumi nyɛ ɔbea.
"Frankly speaking, I don't like him.","Nokwarem no, mempɛ n'asɛm."
You're smarter than you look.,W'ani atew sen sɛnea ye hu wo
I don't understand Asamoah's strategy.,Me nte Asamoah hyehyɛyɛ ase.
America is the greatest country in the world.,Amerika ne ɔman a ɛso sen biara wɔ wiase.
I'm probably not the only one who thinks it's a bad idea to do that.,Ebia ɛnyɛ me nko na misusuw sɛ ɛyɛ nsusuwii bɔne sɛ mɛyɛ saa.
Don't forget about me.,Mma wo werɛ mmfi me.
It's not that ridiculous.,Ɛnyɛ serew.
He decided to study law.,Ɔyɛɛ n'adwene sɛ obesua mmara.
His hands were covered with mud.,Ná atɛkyɛ akata ne nsa so.
I built a new house.,Misii dan foforo.
I can still hear you.,Meda so ara te wo nka.
I hope it won't rain this afternoon.,Mehwɛ kwan sɛ osu ntɔ saa awia yi.
Let's drop by his house.,Momma yɛn fa ne fie
"Hold on a minute, please. I'll see if he is in.","Mesrɛ wo, ma me nfa simma kakraa bi hwɛ sɛ ɔwɔ hɔ anaa."
"After I graduated from college, I spent two years traveling around the world.","Bere a miwiee kɔlege no, mede mfe abien tutuu akwan wɔ wiase nyinaa."
"Since they had no children of their own, they decided to adopt a little girl.","Esiane sɛ na wonni wɔn ankasa mma nti, wosii gyinae sɛ wobegye abeawa ketewa bi."
How're you feeling?,Wote nka sɛn?
I have no patience.,Minni abotare.
I saw one yesterday.,Mihunu biako ennura no.
Life is what happens to us while we are making other plans.,Asetra ne nea ɛba yɛn so bere a yɛreyɛ nhyehyɛe foforo no.
Beijing is changing so rapidly.,Beijing resesa ntɛmntɛm
Asamoah kept calling Boatemaa.,Na Asamoah da so ara frɛ Boatemaa.
Can I stop by?,So metumi agyina hɔ?
Everything would be easier if we could float.,Sɛ yɛ tumi da nsu ani a nneɛma mu bɛyɛ mmerɛw ama yɛn.
I never had the opportunity to use it.,Mamfa anni dwuma da.
He decided to seek information elsewhere.,Ɔyɛɛ n'adwene sɛ ɔbɛhwehwɛ nsɛm afi baabi foforo.
We have to get him to the hospital before it's too late.,Ɛsɛ sɛ yɛde no kɔ ayaresabea ansa na aka akyi dodo.
"Asamoah couldn't solve the problem, could he?","Asamoah entumi anni ɔhaw no so, ete saa?"
She kissed him on the cheek.,Ɔfew n'ano guu n'aso akyi.
I brought you some food.,Mede aduan kakra brɛɛ wo.
I can't believe Asamoah really said no to me.,Mintumi nnye nni sɛ Asamoah kae ankasa sɛ dabi.
Asamoah never remembers my name.,Kameda werɛ remfi me din da.
It'll just take a second.,Egye nea ɛto so abien kɛkɛ.
My father is so old that he is hard of hearing.,Me papa anyin araa ma ontumi ntie.
She praised him for his honesty.,Ɔkamfoo no wɔ ne nokwaredi ho.
I thought we'd have breakfast together.,Ná misusuw sɛ yɛbɛbom adidi.
I only saw the apple.,Nea mihui ara ne aduaba no.
Asamoah's wife is Canadian.,"Sɛ́ Holah yere no, ɔyɛ Canadani."
Does Asamoah like his job?,So Asamoah pɛ n'adwuma?
I've been a little busy.,Minni adagyew koraa.
I want to ask you a question.,Mepɛ sɛ mibisa wo asɛm bi.
The wounded soldier could hardly walk.,Ná ɔsraani a wapira no ntumi nnantew.
Asamoah was the first one to finish eating.,Asamoah na odii kan didii.
He can swim a mile.,Obetumi aguare mile biako.
Asamoah likes lobster.,Asamoah pɛ mɔnkɔ
I have to go to the store first.,Ɛsɛ sɛ midi kan kɔ sotɔɔ no mu.
He may be there.,Ebia ɔbɛkɔ hɔ bi.
He works from Monday to Friday.,Ɔyɛ adwuma fi Dwoda kosi Fida.
We're fed up with your complaining.,Wo anwiinwii no ama y’abrɛ.
That was the last time any of us ever saw Asamoah.,Ɛno ne bere a etwa to koraa a yɛn mu biara ehuu Asamoah.
Your answer is still incorrect.,Mmuae a wobɛma no da so ara yɛ atoro.
What do whales eat?,Dɛn na bonsu adi?
She is not in the least surprised.,Anyɛ no nwonwa koraa.
She gave up everything for her children.,Ɔde biribiara too hɔ maa ne mma.
Some diseases are caused by a defective gene.,"Yare ahorow bi wɔ hɔ a, efi awosu mu dɛmdi bi."
There must have been an accident up ahead.,Ɛbɛyɛ sɛ na akwanhyia bi da wɔn anim.
Isn't life beautiful?,So asetra nyɛ anigye?
Do you mind my turning on the radio?,"Sɛ me sɔ radio no a, ɛbɛ haw?"
Our team may win.,Ebia yɛn kuw no bedi nkonim.
Asamoah couldn't find anything better to do.,Asamoah antumi anhu biribi pa biara a ɛsɛ sɛ ɔyɛ.
I need you to go to the supermarket for me.,Mepɛ sɛ wokɔ adetɔnbea ma me.
I'm not here to arrest you.,Minni ha sɛ mɛsan akyere wo.
Asamoah was the one who started the fight.,Obi a ofii ɔko no ase ne Hiba.
Do you want me to stay?,Wopɛ sɛ metra hɔ?
Stop there.,Gyina hɔ
The jug was very heavy.,Ná kuruwa no mu yɛ duru yiye.
He often drives to the library.,Ná ɔtaa de kar kɔ nhomakorabea.
This should be interesting.,Ɛsɛ sɛ eyi yɛ anigye.
No one was listening.,Ná obiara ntie.
Asamoah hasn't been a teacher long.,"Sɛ́ Asamoah no, ɔnyɛ ɔkyerɛkyerɛfo bere tenten."
Asamoah died Monday afternoon.,Asamoah wui Dwoda awia no.
The soldiers had artillery.,Ná asraafo no wɔ ntuo bebere
Might I come in?,So metumi aba mu bi?
She tried to screen her son from reality.,Ɔbɔɔ mmɔden sɛ ɔbɛma ne ba no ahu nokwasɛm a ɛwɔ asɛm no mu.
A chain of events led to the outbreak of the war.,Nsɛm pii sisii ansa na ɔko no refi ase.
Asamoah knows who Boatemaa is.,Sɛnea Asamoah nim onii ko a Boatemaa yɛ.
Asamoah made a reservation for three days at the Hilton Hotel.,Asamoah yɛɛ nhyehyɛyɛ sɛ ɔde nnansa bɛ da Hilton hotel.
I usually got up at five in those days.,"Saa bere no, na metaa sɔre mpɛn pii wɔ nnɔn anum mu."
I hate ironing.,M'ani nnye ade to ho.
Make yourself comfortable.,Ma wo bo ntɔ wo yam.
She needs assistance.,Ohia mmoa.
Asamoah is always blaming himself.,Wɔde ne ho sobo to ne ho so bere nyinaa.
Asamoah wants to call his lawyer.,"Sɛ́ Asamoah no, ɔpɛ sɛ ɔfrɛ ne mmaranimfo."
What is he up to?,Dɛn na ɔrebɛyɛ?
She wants him to be her friend.,Ɔpɛ sɛ ɔyɛ n'adamfo.
Asamoah told me he doesn't want to work with you.,"Sɛnea Asamoah ka kyerɛɛ me no, ɔmpɛ sɛ ɔne wo yɛ adwuma."
He did his best.,Ɔyɛɛ nea obetumi nyinaa.
I don't deserve your friendship.,M'ani nnye mo adamfofa no ho.
Who's taking responsibility for the loss?,Hena na ogye adehwere no ho asodi to no so?
I think Asamoah is going to win.,"Misusuw sɛ, sɛ́ Asamoah no, obedi nkonim."
Slavery is a crime against humanity.,Nkoasom yɛ bɔne a etia nnipa.
Patience is a rare virtue these days.,Ntoboaseɛ ho yɛ na nnansa yi.
These shoes are big enough for me.,Saa mpaboa yi sõ paa ma me.
I was forced to take the drug against my will.,Wɔhyɛɛ me ma mefaa aduru no a na m'ani nnye ho.
What's your favorite dessert with bananas?,Dɛn na wotaa de kwadu yɛ?
Let me try it.,Ma me nsɔ nhwɛ.
What time will you get to the station?,Bere bɛn na wobɛkɔ adwumayɛbea hɔ?
I'm ready when you are.,Mayɛ krado bere a wowɔ hɔ no.
The bag was too heavy for me to carry by myself.,Ná bag no mu yɛ duru dodo sɛ me nkutoo metumi asoa.
Asamoah is madly in love with Boatemaa.,Asamoah dɔ Boatemaa.
All of us are happy.,Yɛn nyinaa wɔ anigye.
The pilot made an emergency landing in the desert.,Wimhyɛn kafo no tuu mmirika a egye ntɛmpɛ wɔ ɛsrɛ no so.
The mountain is about 3000 meters above sea level.,Bepɔw no tenten boro po mita 3000.
Did you see his face?,Wuhuu n'anim?
He left ten minutes ago.,Ofii hɔ simma du a atwam ni.
"Which is cheaper, this or that?","Emu nea ɛwɔ he na ne bo nyɛ den, eyi anaa nea ɛte saa?"
I don't have a solution.,Minni ano aduru.
I began studying French when I was thirteen.,Mifii ase suaa Franse kasa bere a na m’adi nfie adubiensa .
"More often than not, he is late for school.","Mpɛn pii no, ɔka akyi kɔ sukuu."
"As long as you're here, I'll stay.","Bere tenten a wowɔ ha no, mɛkɔ so atra hɔ."
Even his teacher didn't understand him.,Ne kyerɛkyerɛfo mpo ante no ase.
He lifted the car with his phenomenal strength.,Ɔde n'ahoɔden a enni ano no maa kar no so.
We're going to get in trouble for that.,"Ɛno nti, asɛm bɛto yɛn."
"We have something special for you, sir.","Yɛwɔ biribi soronko bi ma wo, sir."
I can do magic.,Mitumi de me ho hyɛ abayisɛm mu.
"In 1939, as in 1914, the world was on the brink of war.","Wɔ 1939 mu, sɛnea na ɛte wɔ 1914 mu no, na wiase no reyɛ adi ako."
May I bring my family along?,So metumi ne m'abusua akɔ?
Something smells good.,Biribi hua yɛ dɛ.
I delivered a lecture in English.,Memaa ɔkasa wɔ Borɔfo kasa mu.
He's innocent.,Ne ho nni asɛm.
It isn't a secret.,Ɛnyɛ ahintasɛm.
They're playing together.,Wɔabom redi agoru.
I'm taking a walk with my dog.,Me ne me kraman nam.
Asamoah dreamed about Boatemaa.,Asamoah som Boatemaa ho dayɛ
The refugees felt safe in their new country.,Aguanfo no tee nka sɛ wɔwɔ ahobammɔ wɔ wɔn man foforo no mu.
Asamoah is happy now.,Asamoah ani agye.
New York is one of the largest cities in the world.,New York yɛ nkuropɔn akɛse a ɛwɔ wiase no mu biako.
It is something like a ball.,Ɛte sɛ bɔɔl.
I did it according to your instructions.,Meyɛɛ saa sɛnea w'akwankyerɛ te.
It is all Greek to me.,Ɛno ara ne Hela kasa.
I'm sure I can get away with it.,Migye di sɛ metumi aguan afi ho.
I am going to complain to the manager.,Mɛnwiinwii akyerɛ adwumam panyin no.
I'll be mad at you if you keep doing that.,"Sɛ wokɔ so yɛ saa a, me bo befuw wo."
I no longer study French.,Mensua Franse kasa bio.
Bears are very dangerous.,Aboa Bear hu yɛ hu yiye.
The nuns are singing.,Mmea ahotefo no reto dwom.
I appreciate your help.,M'ani sɔ mmoa a wode ma me no.
The snake is swallowing an egg.,Ɔwɔ no resɛe kesua.
Asamoah drank coffee while Boatemaa smoked a cigarette.,Na Asamoah nom kɔfe bere a Boatemaa nom sigaret no.
We got into his car and went to the sea.,Yɛtraa ne kar mu kɔɔ po no so.
Is that a personal opinion?,So ɛno yɛ ankorankoro nsusuwii?
Have you been to Australia?,So woakɔ Australia pɛn?
I'm the only one who had to do that.,Me nkutoo na na ɛsɛ sɛ meyɛ saa.
Marconi invented the radio.,Marconi na ɔyɛɛ radio no.
The problem isn't Asamoah.,Ɔhaw no nyɛ Asamoah de.
I have a lot of friends in Boston.,Mewɔ nnamfo pii wɔ Boston.
He's a freelance journalist.,Ɔyɛ sɛnkyerɛwfo a ɔhwɛɛ ne ho so.
These pills will ease the pain.,Saa nnuru yi bɛma ɛyaw no so atew.
Asamoah is going to pay me back next week.,"Dapɛn a edi hɔ no, me papa kumaa a wɔfrɛ no Nalah betua me ka."
Why didn't he come?,Dɛn nti na wamma?
This is too hard.,Eyi yɛ den dodo.
I want to reserve a first-class stateroom.,Mepɛ sɛ mekora ɔmantam dan bi a edi kan so.
He got his discharge from the army.,Wogyee no fii asraafo no nsam.
How's the wife?,ɔyere no ho te sɛn?
You're going to screw this up.,Wobɛsɛi deɛ no.
Do you know this lady?,Wunim ɔbea yi?
I thought Asamoah was dead.,Ná misusuw sɛ Asamoah awu.
They turned against Germany.,Wɔde wɔn ani sii Germany so.
I wonder whose car this is.,Misusuw sɛ hena kar na eyi te saa.
We obeyed the rules.,Yedii mmara horow no so.
I saw a lady go through the gate without showing her ticket.,Mihuu ɔbea bi sɛ ɔnam ɔpon no ano a ɔmfa ne tekiti nkyerɛ.
I've been in Boston.,Mayɛ adwuma wɔ Boston.
She did it carefully.,Ɔtɔɔ ne bo ase yɛɛ saa.
I have not heard from her since then.,"Efi saa bere no, mentee ne nka da."
"If you have nothing to say, say nothing.","Sɛ wunni hwee ka a, nka hwee."
She lived there for years.,Ɔtraa hɔ mfe pii.
"No, I'm not a teacher. I'm only a student.","Dabi, menyɛ ɔkyerɛkyerɛfo, meyɛ sukuuni ara kwa."
I want to go abroad someday.,Mepɛ sɛ mekɔ amannɔne da bi.
Is this wine?,So ɛyɛ bobesa yi?
She is knitting a sweater for her boyfriend.,Ɔresiesie atade bi ama n'adamfo abarimaa no.
"If I were you, I would paint it blue.","Sɛ me na me painte a, anka mɛ painte no bruu."
I used to think it didn't really matter what I fed my dog.,Ná misusuw sɛ nea mede ma me kraman no mfa ho ankasa.
"Louis Braille, who was blind from the age of three, invented a way for the blind to read.",Louis Braille nkyerɛwee a na n'ani afura fi bere a odii mfe abiɛsa no yɛɛ ɔkwan a anifuraefo betumi afa so akenkan ade.
She always has some axe to grind.,Ɔwɔ afiri bi a ɔde nyam ade bere nyinaa.
Nobody has solved the problem.,Obiara nnii ɔhaw no ho dwuma.
I want to play on the computer.,Mepɛ sɛ midi agoru wɔ kɔmputa so.
When will the film be released?,Bere bɛn na wobeyi sini no adi?
The enemy attack ceased at dawn.,Atamfo ntua no to twae ahemadakye.
I'd like it if you were always honest with me.,"Sɛ woka nokware kyerɛ me bere nyinaa a, m'ani begye."
Would you see to it that they get properly fed?,So wobɛhwɛ ma wɔanya aduan pa adi?
Don't worry about it. Everything's going to be fine.,"Mma ɛnhaw wo, biribiara bɛyɛ yiye."
It came apart.,Ɛkyɛɛ mu.
I can get you more.,Metumi anya pii aka ho.
I don't remember you at all.,Menkae wo koraa.
Boatemaa works in a supermarket.,Boatemaa yɛ adwuma wɔ sotɔɔ bi mu.
I thought Asamoah would need help getting in and out of the bathtub.,"Ná misusuw sɛ, Asamoah be hia mmoa wɔ aguareɛhɔ."
Don't play here.,Nni agoru wɔ ha.
I don't want to buy this carpet.,Mempɛ sɛ metɔ saa kuntu yi.
Asamoah didn't know how to reply.,Asamoah nnim ɔkwan a ɔbɛfa so abua asɛm no.
Every man has his price.,Onipa biara wɔ ne bo.
I know my legal rights.,Minim hokwan a mewɔ wɔ mmara mu.
I lost track of time.,Me were fii merɛw a na me wom.
I have a dog.,Mewɔ ɔkraman.
Let's not waste our money.,Mommma yɛnnsɛe yɛn sika.
Asamoah often plays piano in the evening.,"Sɛ edu anwummere a, Asamoah taa bɔ sanku."
Don't do that anymore.,Nyɛ saa bio.
We have to pick a name for the child.,Ɛsɛ sɛ yɛhwehwɛ din ma abofra no.
Asamoah couldn't do anything about it until much later.,"Akyiri yi, na Koos ntumi nyɛ ho hwee."
Let's get the party started.,Ma yemfi apontow no ase.
Did you tape that concert?,So wokyeree saa nnwom no guu kasɛt so?
We're playing baseball after work today.,"sɛ yɛ wie adwuma nnɛ no a, yɛbebɔ baseball."
Monday's a holiday.,Dwoda dapɔnna.
Which book would you like?,Nhoma bɛn na wopɛ?
Let's take your temperature first.,Ma yɛn hwɛ sɛ woho ayɛ she anaa
Turn to the right.,Yɛ nea ɛteɛ.
It wasn't real.,Ná ɛnte saa ankasa.
I'll understand.,Mɛte ase.
You were both drunk.,Ná mo baanu nyinaa nom nsa.
"I wanted to switch channel, but my wife didn't let me.","Ná mepɛ sɛ mefa ɔkwan foforo so, nanso me yere amma me kwan."
I like having plenty to do.,Mepɛ sɛ meyɛ pii.
I'd like to be a millionaire.,M'ani begye ho sɛ mɛyɛ obi a ɔwo sika pii.
You've got to fix it.,Ɛsɛ sɛ wudi ho dwuma.
"Lend me your dictionary, please.","Mesrɛ wo, mame wo nsɛm asekyerɛ nhoma no kyerɛ me."
There still weren't any visible signs of spring.,Ná wim tebea ho sɛnkyerɛnne biara nni hɔ.
It took me more than one month to get over my cold.,Egyee me bɛboro ɔsram biako ansa na me ho retɔ me.
Something you should know about me is that I'm a creature of habit.,Ade biako a ɛsɛ sɛ wuhu fa me ho ne sɛ meyɛ aboa a ɔpɛ suban .
They'll like it.,Wɔn ani begye ho.
Savlon is a moisturizing skin cream.,Savlon yɛ samina bi a ɛma wo honam tɔ so.
"To lose weight, you must cut back on sweets.","Sɛ wo so bɛtew a, ɛsɛ sɛ wotew nnɔkɔnnɔkɔwade so."
Asamoah swam.,Asamoah guaree
The purpose of our trip is to visit a new factory.,Yɛn akwantu no atirimpɔw ne sɛ yɛbɛkɔ adwinnan foforo bi mu.
"Even though the alarm clock went off, I didn't wake up.","Ɛwom sɛ dɔn no ano brɛɛ ase de, nanso manyan."
Asamoah is the only person that has any chance to persuade Boatemaa.,Asamoah nko na ɔwɔ hokwan sɛ ɔbɛsesa Boatemaa adwene.
The pasture is full of weeds.,Wura bɔne ahyɛ adidibea hɔ ma.
I never would have thought that I would meet you here.,Mansusuw da sɛ mehyia wo wɔ ha.
Asamoah and Boatemaa both seem unable to do that.,Ɛte sɛ nea Asamoah ne Boatemaa nyinaa ntumi nyɛ saa.
We're going to buy ourselves a car.,Yɛkɔtotɔ kar.
I'll never see him again as long as I live.,Me re hu no da bere tenten a mete ase yi.
This is the very dictionary that I have been looking for.,Eyi ne nsɛm asekyerɛ nhoma koro no ara a merehwehwɛ.
They're always having trouble with their word processor.,Ɛyɛ den ma wɔn bere nyinaa sɛ wɔ de wɔn word processor bedi dwuma.
